"Laikotarpis","Rodiklis","Administracinė teritorija","Vandens naudojimo paskirtis","Matavimo vienetai","Reikšmė"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens iš viso","tūkst. m³","67097.8"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens iš viso","tūkst. m³","76831.1"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens iš viso","tūkst. m³","75861.2"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens iš viso","tūkst. m³","82911.3"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens iš viso","tūkst. m³","88432.4"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota požeminio vandens","tūkst. m³","15372.8"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota požeminio vandens","tūkst. m³","14975.4"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota požeminio vandens","tūkst. m³","15938.2"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota požeminio vandens","tūkst. m³","15561.6"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota požeminio vandens","tūkst. m³","15814.1"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","58154.4"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","68336.4"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","67252.4"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","74400.9"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens ūkio ir buities reikmėms","tūkst. m³","80843.0"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","224.9"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","231.7"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","231.1"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","284.0"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens energetikos reikmėms","tūkst. m³","240.7"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens kitoms reikmėms","tūkst. m³",
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","5715.8"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","5267.1"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","5317.8"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","5005.3"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens pramonės reikmėms","tūkst. m³","4719.0"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","74.2"
