"Laikotarpis","Rodiklis","Administracinė teritorija","Išvalymas","Matavimo vienetai","Reikšmė"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","110.4"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","110.4"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","187.1"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","186.4"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","180.1"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","209.0"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","196.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","47264.3"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","57254.8"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","55178.1"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","62467.3"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","68215.9"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista nuotekų, kurių nereikia valyti","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Vilniaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Alytaus m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Kauno m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","19.1"
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","17.2"
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","13.4"
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","274.3"
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Klaipėdos m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","10.2"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Panevėžio m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
"2016","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2017","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2018","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2019","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³",
"2020","Ūkio, buities ir gamybos nuotekų išleidimas į paviršinius vandenis","Šiaulių m. sav.","Išleista užterštų (be valymo nuotekų)","tūkst. m³","0.0"
