,Vandens naudojimo paskirtis,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
168,Sunaudota vandens žuvininkystės reikmėms,Alytaus m. sav.,tūkst. m³,2019,,50084.0,
169,Sunaudota požeminio vandens,Alytaus m. sav.,tūkst. m³,2019,2480.0,50084.0,49.5168117562495
170,Paimta vandens iš viso,Alytaus m. sav.,tūkst. m³,2020,3056.0,49607.0,61.60420908339549
171,Paimta požeminio vandens,Alytaus m. sav.,tūkst. m³,2020,3056.0,49607.0,61.60420908339549
172,Sunaudota vandens iš viso,Alytaus m. sav.,tūkst. m³,2020,2819.0,49607.0,56.826657528171424
173,Sunaudota vandens ūkio ir buities reikmėms,Alytaus m. sav.,tūkst. m³,2020,2471.206,49607.0,49.81567117543895
174,Sunaudota vandens energetikos reikmėms,Alytaus m. sav.,tūkst. m³,2020,53.108,49607.0,1.0705747172778035
175,Sunaudota vandens kitoms reikmėms,Alytaus m. sav.,tūkst. m³,2020,,49607.0,
176,Sunaudota vandens pramonės reikmėms,Alytaus m. sav.,tūkst. m³,2020,294.686,49607.0,5.940411635454674
177,Sunaudota vandens žemės ūkio reikmėms,Alytaus m. sav.,tūkst. m³,2020,,49607.0,
178,Sunaudota vandens žuvininkystės reikmėms,Alytaus m. sav.,tūkst. m³,2020,,49607.0,
179,Sunaudota požeminio vandens,Alytaus m. sav.,tūkst. m³,2020,2819.0,49607.0,56.826657528171424
180,Paimta vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2015,51895.038,155096.0,334.59946097900655
181,Paimta požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2015,10519.038,155096.0,67.82275493887657
182,Sunaudota vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2015,50478.061,155096.0,325.4633323876825
183,Sunaudota vandens ūkio ir buities reikmėms,Klaipėdos m. sav.,tūkst. m³,2015,46593.03800000001,155096.0,300.4141821839377
184,Sunaudota vandens energetikos reikmėms,Klaipėdos m. sav.,tūkst. m³,2015,262.236,155096.0,1.69079795739413
185,Sunaudota vandens kitoms reikmėms,Klaipėdos m. sav.,tūkst. m³,2015,,155096.0,
186,Sunaudota vandens pramonės reikmėms,Klaipėdos m. sav.,tūkst. m³,2015,3622.787,155096.0,23.35835224635065
187,Sunaudota vandens žemės ūkio reikmėms,Klaipėdos m. sav.,tūkst. m³,2015,,155096.0,
188,Sunaudota vandens žuvininkystės reikmėms,Klaipėdos m. sav.,tūkst. m³,2015,,155096.0,
189,Sunaudota požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2015,9102.061,155096.0,58.686626347552476
190,Paimta vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2016,58900.846000000005,153030.0,384.8973795987715
191,Paimta požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2016,10586.37,153030.0,69.17839639286414
192,Sunaudota vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2016,57647.024000000005,153030.0,376.7040710971705
193,Sunaudota vandens ūkio ir buities reikmėms,Klaipėdos m. sav.,tūkst. m³,2016,53734.743,153030.0,351.13861987845524
194,Sunaudota vandens energetikos reikmėms,Klaipėdos m. sav.,tūkst. m³,2016,215.678,153030.0,1.4093837809579821
195,Sunaudota vandens kitoms reikmėms,Klaipėdos m. sav.,tūkst. m³,2016,,153030.0,
196,Sunaudota vandens pramonės reikmėms,Klaipėdos m. sav.,tūkst. m³,2016,3696.603,153030.0,24.1560674377573
197,Sunaudota vandens žemės ūkio reikmėms,Klaipėdos m. sav.,tūkst. m³,2016,,153030.0,
198,Sunaudota vandens žuvininkystės reikmėms,Klaipėdos m. sav.,tūkst. m³,2016,,153030.0,
199,Sunaudota požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2016,9332.548,153030.0,60.985087891263156
200,Paimta vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2017,68630.099,149860.0,457.9614239957294
201,Paimta požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2017,10186.408,149860.0,67.97282797277458
