,Reiso tipas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
137,Specialus reisas,Alytaus m. sav.,tūkst. km,2020,304.2,49607.0,6.1321990848065795
138,Tarptautinio susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2020,,49607.0,
139,Reguliarus reisas,Alytaus m. sav.,tūkst. km,2020,1431.9,49607.0,28.864877940613223
140,Vietinio (miesto) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2020,,49607.0,
141,Užsakomasis reisas,Alytaus m. sav.,tūkst. km,2020,130.2,49607.0,2.6246295885661297
142,Vietinio (priemiestinio) susisiekimo maršrutas,Alytaus m. sav.,tūkst. km,2020,965.4,49607.0,19.46096317052029
143,Iš viso pagal reiso tipą,Alytaus m. sav.,tūkst. km,2020,1866.3,49607.0,37.62170661398593
144,Tolimojo susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2015,2862.1,155096.0,18.453731882189093
145,Specialus reisas,Klaipėdos m. sav.,tūkst. km,2015,349.0,155096.0,2.2502192190643213
146,Tarptautinio susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2015,426.3,155096.0,2.7486202094186827
147,Reguliarus reisas,Klaipėdos m. sav.,tūkst. km,2015,18155.3,155096.0,117.05846701397843
148,Vietinio (miesto) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2015,13138.5,155096.0,84.71204931139422
149,Užsakomasis reisas,Klaipėdos m. sav.,tūkst. km,2015,2793.8,155096.0,18.013359467684534
150,Vietinio (priemiestinio) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2015,1728.4,155096.0,11.144065610976428
151,Iš viso pagal reiso tipą,Klaipėdos m. sav.,tūkst. km,2015,21298.1,155096.0,137.32204570072727
152,Tolimojo susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2016,2886.6,153030.0,18.862968045481278
153,Specialus reisas,Klaipėdos m. sav.,tūkst. km,2016,285.0,153030.0,1.862379925504803
154,Tarptautinio susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2016,427.4,153030.0,2.792916421616676
155,Reguliarus reisas,Klaipėdos m. sav.,tūkst. km,2016,17559.2,153030.0,114.74351434359276
156,Vietinio (miesto) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2016,12589.4,153030.0,82.26752924263215
157,Užsakomasis reisas,Klaipėdos m. sav.,tūkst. km,2016,2747.4,153030.0,17.9533424818663
158,Vietinio (priemiestinio) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2016,1655.8,153030.0,10.82010063386264
159,Iš viso pagal reiso tipą,Klaipėdos m. sav.,tūkst. km,2016,20591.600000000002,153030.0,134.55923675096386
160,Tolimojo susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2017,2888.0,149860.0,19.271319898572
161,Specialus reisas,Klaipėdos m. sav.,tūkst. km,2017,285.1,149860.0,1.9024422794608302
162,Tarptautinio susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2017,402.5,149860.0,2.685840117442947
163,Reguliarus reisas,Klaipėdos m. sav.,tūkst. km,2017,16961.800000000003,149860.0,113.18430535166158
164,Vietinio (miesto) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2017,11848.600000000002,149860.0,79.06446016281865
165,Užsakomasis reisas,Klaipėdos m. sav.,tūkst. km,2017,2783.3,149860.0,18.57266782330175
166,Vietinio (priemiestinio) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2017,1822.7,149860.0,12.162685172827974
167,Iš viso pagal reiso tipą,Klaipėdos m. sav.,tūkst. km,2017,20030.200000000004,149860.0,133.65941545442416
168,Tolimojo susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2018,2872.4,148103.0,19.394610507552176
169,Specialus reisas,Klaipėdos m. sav.,tūkst. km,2018,353.0,148103.0,2.3834763644220573
170,Tarptautinio susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2018,429.1,148103.0,2.8973079545991642
171,Reguliarus reisas,Klaipėdos m. sav.,tūkst. km,2018,14832.5,148103.0,100.1498956807087
172,Vietinio (miesto) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2018,9723.1,148103.0,65.65093212156404
173,Užsakomasis reisas,Klaipėdos m. sav.,tūkst. km,2018,2282.4,148103.0,15.410896470699447
