,Administracinė teritorija,Teršalai,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
110,Alytaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2016,446.5,53731.0,8.309914202229626
111,Alytaus m. sav.,Kietosios medžiagos,tonos,2016,55.7,53731.0,1.0366455119018816
112,Alytaus m. sav.,Visi teršalai,tonos,2017,569.1,52051.0,10.933507521469329
113,Alytaus m. sav.,"Azoto oksidai, tonos",tonos,2017,90.3,52051.0,1.7348369868014062
114,Alytaus m. sav.,Fluoras ir kiti teršalai,tonos,2017,4.6,52051.0,0.0883748631150218
115,Alytaus m. sav.,"Anglies monoksidas, tonos",tonos,2017,380.3,52051.0,7.306295748400607
116,Alytaus m. sav.,Lakūs organiniai junginiai,tonos,2017,15.2,52051.0,0.2920212868148546
117,Alytaus m. sav.,"Sieros dioksidas, tonos",tonos,2017,14.9,52051.0,0.28625770878561413
118,Alytaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2017,505.3,52051.0,9.707786593917504
119,Alytaus m. sav.,Kietosios medžiagos,tonos,2017,63.8,52051.0,1.2257209275518242
120,Alytaus m. sav.,Visi teršalai,tonos,2018,548.96,51062.0,10.750851905526616
121,Alytaus m. sav.,"Azoto oksidai, tonos",tonos,2018,87.59,51062.0,1.7153656339352161
122,Alytaus m. sav.,Fluoras ir kiti teršalai,tonos,2018,5.65,51062.0,0.11064979828443854
123,Alytaus m. sav.,"Anglies monoksidas, tonos",tonos,2018,360.42,51062.0,7.058477928792449
124,Alytaus m. sav.,Lakūs organiniai junginiai,tonos,2018,14.97,51062.0,0.29317300536602564
125,Alytaus m. sav.,"Sieros dioksidas, tonos",tonos,2018,20.73,51062.0,0.40597704751086916
126,Alytaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2018,489.36,51062.0,9.583643413888998
127,Alytaus m. sav.,Kietosios medžiagos,tonos,2018,59.6,51062.0,1.167208491637617
128,Alytaus m. sav.,Visi teršalai,tonos,2019,453.17,50084.0,9.04819902563693
129,Alytaus m. sav.,"Azoto oksidai, tonos",tonos,2019,74.11,50084.0,1.4797140803450204
130,Alytaus m. sav.,Fluoras ir kiti teršalai,tonos,2019,4.34,50084.0,0.08665442057343661
131,Alytaus m. sav.,"Anglies monoksidas, tonos",tonos,2019,303.82,50084.0,6.0662087692676305
132,Alytaus m. sav.,Lakūs organiniai junginiai,tonos,2019,14.64,50084.0,0.2923089210126987
133,Alytaus m. sav.,"Sieros dioksidas, tonos",tonos,2019,13.48,50084.0,0.26914783164284006
134,Alytaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2019,410.39,50084.0,8.194034022841626
135,Alytaus m. sav.,Kietosios medžiagos,tonos,2019,42.78,50084.0,0.8541650027953039
136,Alytaus m. sav.,Visi teršalai,tonos,2020,482.97,49607.0,9.735924365512933
137,Alytaus m. sav.,"Azoto oksidai, tonos",tonos,2020,81.67,49607.0,1.6463402342411355
138,Alytaus m. sav.,Fluoras ir kiti teršalai,tonos,2020,5.99,49607.0,0.12074908783034653
139,Alytaus m. sav.,"Anglies monoksidas, tonos",tonos,2020,323.28,49607.0,6.5168222226701875
140,Alytaus m. sav.,Lakūs organiniai junginiai,tonos,2020,19.27,49607.0,0.38845324248593943
141,Alytaus m. sav.,"Sieros dioksidas, tonos",tonos,2020,9.03,49607.0,0.18203076178765093
142,Alytaus m. sav.,Dujinės ir skystosios medžiagos,tonos,2020,439.24,49607.0,8.85439554901526
143,Alytaus m. sav.,Kietosios medžiagos,tonos,2020,43.73,49607.0,0.8815288164976717
144,Klaipėdos m. sav.,Visi teršalai,tonos,2015,2873.0,155096.0,18.52401093516274
145,Klaipėdos m. sav.,"Azoto oksidai, tonos",tonos,2015,676.5,155096.0,4.361814618043018
146,Klaipėdos m. sav.,Fluoras ir kiti teršalai,tonos,2015,380.0,155096.0,2.4500954247691755
147,Klaipėdos m. sav.,"Anglies monoksidas, tonos",tonos,2015,1377.9,155096.0,8.884174962603808
148,Klaipėdos m. sav.,Lakūs organiniai junginiai,tonos,2015,230.9,155096.0,1.4887553515242173
