,Išvalymas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
130,Iš viso išleista nuotekų,Vilniaus m. sav.,tūkst. m³,2017,41553.70700000001,546504.0,76.03550385724535
131,"Išleista nuotekų, kurių nereikia valyti",Vilniaus m. sav.,tūkst. m³,2017,110.4,546504.0,0.20201133020069387
132,Išleista išvalytų iki normos nuotekų,Vilniaus m. sav.,tūkst. m³,2017,2313.135,546504.0,4.232603969961794
133,Išleista nepakankamai išvalytų nuotekų,Vilniaus m. sav.,tūkst. m³,2017,39130.172,546504.0,71.60088855708284
134,Išleista užterštų (be valymo nuotekų),Vilniaus m. sav.,tūkst. m³,2017,,546504.0,
135,Iš viso išleista nuotekų,Vilniaus m. sav.,tūkst. m³,2018,40027.498,549833.0,72.7993736279925
136,"Išleista nuotekų, kurių nereikia valyti",Vilniaus m. sav.,tūkst. m³,2018,114.0,549833.0,0.20733568192523913
137,Išleista išvalytų iki normos nuotekų,Vilniaus m. sav.,tūkst. m³,2018,1519.377,549833.0,2.763342687688807
138,Išleista nepakankamai išvalytų nuotekų,Vilniaus m. sav.,tūkst. m³,2018,38394.121,549833.0,69.82869525837846
139,Išleista užterštų (be valymo nuotekų),Vilniaus m. sav.,tūkst. m³,2018,,549833.0,
140,Iš viso išleista nuotekų,Vilniaus m. sav.,tūkst. m³,2019,40726.71000000001,556767.0,73.14857022776137
141,"Išleista nuotekų, kurių nereikia valyti",Vilniaus m. sav.,tūkst. m³,2019,110.4,556767.0,0.1982876140288487
142,Išleista išvalytų iki normos nuotekų,Vilniaus m. sav.,tūkst. m³,2019,1820.755,556767.0,3.2702279409519606
143,Išleista nepakankamai išvalytų nuotekų,Vilniaus m. sav.,tūkst. m³,2019,38795.555,556767.0,69.68005467278053
144,Išleista užterštų (be valymo nuotekų),Vilniaus m. sav.,tūkst. m³,2019,,556767.0,
145,Iš viso išleista nuotekų,Vilniaus m. sav.,tūkst. m³,2020,39242.242000000006,566215.0,69.30625645735277
146,"Išleista nuotekų, kurių nereikia valyti",Vilniaus m. sav.,tūkst. m³,2020,110.4,566215.0,0.19497893909557326
147,Išleista išvalytų iki normos nuotekų,Vilniaus m. sav.,tūkst. m³,2020,1545.471,566215.0,2.7294773186863646
148,Išleista nepakankamai išvalytų nuotekų,Vilniaus m. sav.,tūkst. m³,2020,37586.37100000001,566215.0,66.38180019957085
149,Išleista užterštų (be valymo nuotekų),Vilniaus m. sav.,tūkst. m³,2020,0.0,566215.0,0.0
