"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","237"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","549833"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","549640"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","193"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","556767"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","556568"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","199"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","566215"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","566018"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","197"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","569732"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","569518"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","214"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","95458"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4798"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","90660"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","95214"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4703"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","90511"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","95861"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4644"
"2017","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","91217"
